ServiceName,Suburb,Postcode,NumberOfApprovedPlaces,OverallRating
Play CC&K (Child Care & Kindergarten),BELMONT,3216,87,Exceeding NQS
Camp Australia - Skye Primary School OSHC,SKYE,3977,60,Meeting NQS
St John’s OSHCLUB Footscray,FOOTSCRAY,3011,42,Meeting NQS
GEKA Carnegie Kindergarten,CARNEGIE,3163,33,Exceeding NQS
Only About Children Moonee Ponds,MOONEE PONDS,3039,126,Meeting NQS
Rosebud West Community Hub,ROSEBUD,3939,107,Exceeding NQS
Cornish College OSHC - Extend,BANGHOLME,3175,45,Meeting NQS
Camp Australia - Cranbourne West Primary School OSHC,CRANBOURNE WEST,3977,30,Meeting NQS
Camp Australia - Southern Cross Grammar OSHC,CAROLINE SPRINGS,3023,60,Working Towards NQS
"St Francis of Assisi, Tarneit OSHC - Extend",TARNEIT,3029,60,Meeting NQS
Featherbrook Kindergarten,POINT COOK,3030,112,Exceeding NQS
Camp Australia - Keysborough Primary School OSHC,SPRINGVALE SOUTH,3172,60,Meeting NQS
Camp Australia - Deer Park West Primary School OSHC,DEER PARK,3023,60,Meeting NQS
St Patrick's After School Care Program,MENTONE,3194,60,Exceeding NQS
St Patrick's PS (Geelong West) OSHC - Extend,GEELONG WEST,3218,50,Meeting NQS
Camp Australia - St Cecilia's Primary School OSHC,GLEN IRIS,3146,69,Meeting NQS
Camp Australia - St Anne's Park Orchards OSHC,PARK ORCHARDS,3114,45,Meeting NQS
Big Childcare - Caulfield Grammar Malvern  OSHC,GLEN IRIS,3146,75,Meeting NQS
St Bernards OSHCLUB,BACCHUS MARSH,3340,50,Working Towards NQS
Mount Evelyn Christian School Kindergarten,MOUNT EVELYN,3796,56,Exceeding NQS
Camp Australia - St Mary's Primary School Geelong OSHC,GEELONG,3220,50,Meeting NQS
Community Children - Moonee Ponds,MOONEE PONDS,3039,50,Exceeding NQS
Bubup Wilam Aboriginal Child and Family Centre Inc.,THOMASTOWN,3074,82,Exceeding NQS
Carlisle Park Kindergarten,CRANBOURNE,3977,106,Meeting NQS
Hallam Kindergarten,HALLAM,3803,57,Meeting NQS
Minnows Aspendale Gardens,ASPENDALE GARDENS,3195,68,Meeting NQS
Lady Forster Kindergarten,ELWOOD,3184,49,Exceeding NQS
FedUni Children's Centre at SMB,BALLARAT,3350,85,Meeting NQS
Falls Creek Child Care,FALLS CREEK,3699,16,Meeting NQS
Belgrave Heights Christian School Early Learning Centre,BELGRAVE HEIGHTS,3160,44,Exceeding NQS
Outback Kids Child Care Centre,MILDURA,3500,140,Meeting NQS
Minaret Early Learning Centre,OFFICER,3809,17,Meeting NQS
Point Cook Montessori Centre Pty Ltd,POINT COOK,3030,132,Exceeding NQS
Nathalia Community Early Learning Centre,NATHALIA,3638,72,Working Towards NQS
Doncaster Kindergarten,DONCASTER,3108,27,Working Towards NQS
Early Years at MC Square,DONCASTER,3108,38,Meeting NQS
Team Holiday - Mt Eliza,MOUNT ELIZA,3930,100,Meeting NQS
Headstart Early Learning Centre Hughesdale,HUGHESDALE,3166,140,Meeting NQS
Marriott Waters Kindergarten,LYNDHURST,3975,111,Exceeding NQS
Menzies Creek Pre-School,MENZIES CREEK,3159,30,Meeting NQS
Quality Kids,WALLAN,3756,85,Meeting NQS
Balnarring Early Learning Centre,BALNARRING,3926,57,Meeting NQS
Jenny's Early Learning Centre - Strathfieldsaye,STRATHFIELDSAYE,3551,137,Exceeding NQS
St Kevin's Out of Hours School Care Centre,ORMOND,3204,64,Meeting NQS
Upwey Preschool,UPWEY,3158,30,Exceeding NQS
Bubup Nairm Children's Centre,ST KILDA,3182,116,Exceeding NQS
Hollins Children's Centre,PAKENHAM,3810,99,Meeting NQS
Quantin Binnah/ St Leo the Great,ALTONA NORTH,3025,60,Working Towards NQS
Camp Australia - Tyabb Railway Station Primary School OSHC,TYABB,3913,48,Meeting NQS
Phillip Island Early Learning Centre,COWES,3922,139,Exceeding NQS
Tawonga Kindergarten,TAWONGA,3697,20,Exceeding NQS
Hillsmeade Early Learning Centre,NARRE WARREN SOUTH,3805,180,Exceeding NQS
SmartPlay Early Learners Benalla,BENALLA,3672,46,Meeting NQS
Yallourn North Primary School,YALLOURN NORTH,3825,24,Meeting NQS
Our House Early Learning World,FRANKSTON,3199,43,Meeting NQS
Carey St Kindergarten,ARARAT,3377,30,Exceeding NQS
Wallaby Childcare Epping,EPPING,3076,159,Exceeding NQS
Merbein P-10 College OSHC,MERBEIN,3505,15,Working Towards NQS
Ballarat Specialist School - Early Learning Centre,LAKE GARDENS,3355,28,Exceeding NQS
325 Early Education Craigieburn,CRAIGIEBURN,3064,38,Working Towards NQS
Dallas Kindergarten @ Dallas Brooks Community Primary School,DALLAS,3047,33,Exceeding NQS
Tullamarine Early Learning Centre,TULLAMARINE,3043,95,Meeting NQS
Camp Australia - St Bernadette's Primary School OSHC,SUNSHINE NORTH,3020,50,Meeting NQS
Honey Beez Early Learning Centre,BAYSWATER,3153,55,Meeting NQS
Buckets Early Learning Centre,BENTLEIGH EAST,3165,128,Exceeding NQS
Camp Australia - Geelong Lutheran College OSHC,ARMSTRONG CREEK,3217,35,Exceeding NQS
Maranatha Early Learning Centre - Casey,DOVETON,3177,28,Exceeding NQS
Maranatha Early Learning Centre - Cardinia,OFFICER,3809,30,Exceeding NQS
Headstart Early Learning Centre Carnegie,CARNEGIE,3163,120,Meeting NQS
Shine Bright Marong Kindergarten,MARONG,3515,44,Meeting NQS
Great Beginnings Pakenham,PAKENHAM,3810,160,Meeting NQS
Lightning Reef YMCA Early Learning Centre,NORTH BENDIGO,3550,201,Working Towards NQS
Windermere Early Learning Centre,FRANKSTON,3199,76,Meeting NQS
Bay City Early Learning Centre,GEELONG,3220,103,Exceeding NQS
Alpine View Children's Centre,BRIGHT,3741,123,Meeting NQS
Guardian Childcare & Education Blackburn North,BLACKBURN,3130,58,Exceeding NQS
Quantin Binnah / Our Lady of the Southern Cross,WYNDHAM VALE,3024,75,Exceeding NQS
Lamdeni School Inc,ELSTERNWICK,3185,139,Exceeding NQS
Jacaranda Preschool - Nebel Street,LALOR,3075,28,Exceeding NQS
Somerville Kindergarten Inc,SOMERVILLE,3912,38,Exceeding NQS
The Basin OSHClub,THE BASIN,3154,66,Meeting NQS
Genazzano FCJ College,KEW,3101,40,Exceeding NQS
Camp Australia - Footscray North Primary School OSHC,FOOTSCRAY,3011,80,Meeting NQS
School Support Services Highton OSHC Program,HIGHTON,3216,50,Meeting NQS
Glenroy Central Kindergarten,GLENROY,3046,33,Meeting NQS
Camp Australia - Lakeside College OSHC,PAKENHAM,3810,45,Meeting NQS
Barrow Street Montessori Centre,COBURG,3058,44,Exceeding NQS
Upfield Kindergarten@Dallas Brooks Community Primary School,DALLAS,3047,33,Exceeding NQS
Bonbeach PS TheirCare,BONBEACH,3196,70,Meeting NQS
Camp Australia - Alamanda K-9 College OSHC,POINT COOK,3030,198,Working Towards NQS
Noble Park OSHC,NOBLE PARK,3174,24,Meeting NQS
Kids & Co. Early Learning Centre,DOCKLANDS,3008,130,Meeting NQS
Tarneit Central Kindergarten,TARNEIT,3029,99,Exceeding NQS
O'Shannessy Early Learning Centre,PAKENHAM,3810,90,Meeting NQS
Newport Lakes Childcare & Early Learning,NEWPORT,3015,65,Exceeding NQS
Camp Australia - Erasmus School OSHC,HAWTHORN,3122,30,Meeting NQS
Camp Australia - Aireys Inlet Primary School OSHC,AIREYS INLET,3231,30,Meeting NQS
Dederang Primary School Care,DEDERANG,3691,14,Meeting NQS
Camp Australia - Frankston Heights Primary School OSHC,FRANKSTON,3199,48,Meeting NQS
Team Holiday - GESAC,BENTLEIGH EAST,3165,100,Meeting NQS
Big Childcare - Tarneit P-9 College OSHC,TARNEIT,3029,150,Exceeding NQS
Big Childcare - Reservoir East PS OSHC,RESERVOIR,3073,30,Meeting NQS
Kiddy Palace Learning Centre,MERNDA,3754,38,Working Towards NQS
Yarragon Early Learning Centre and Primary School Outside School Hours Care,YARRAGON,3823,48,Working Towards NQS
Dala Yooro,BAIRNSDALE,3875,99,Meeting NQS
Coles Holiday Program CommunityOSH,HAWTHORN EAST,3123,80,Meeting NQS
Creative Garden Early Learning Pakenham,PAKENHAM,3810,121,Working Towards NQS
Westbreen PS OSHC - Extend,PASCOE VALE,3044,30,Meeting NQS
Victory Lutheran College TheirCare,WEST WODONGA,3690,24,Meeting NQS
Alef Early Learning Centre,ST KILDA EAST,3183,40,Meeting NQS
Kindy Patch Lilydale,LILYDALE,3140,48,Meeting NQS
Alto Early Learning,LANGWARRIN,3910,56,Meeting NQS
Torquay Early Learning Centre,TORQUAY,3228,115,Exceeding NQS
Fawkner Kindergarten,FAWKNER,3060,44,Meeting NQS
Early Learning Centre Mernda,MERNDA,3754,120,Meeting NQS
OSHClub Gembrook,GEMBROOK,3783,32,Meeting NQS
Avoca Preschool,AVOCA,3467,66,Exceeding NQS
First Grammar Epping,EPPING,3076,120,Meeting NQS
Camp Australia - St Brigid's Primary School Officer OSHC,OFFICER,3809,50,Meeting NQS
Nido Early School Dandenong South,DANDENONG SOUTH,3175,80,Working Towards NQS
Camp Australia - Monash University Vacation Care,CLAYTON,3168,39,Meeting NQS
St James OSHClub,BRIGHTON,3186,45,Meeting NQS
Team Holiday - Mt Martha,MOUNT MARTHA,3934,52,Meeting NQS
Camp Australia - Frankston Primary School OSHC,FRANKSTON,3199,61,Meeting NQS
Little Beacons Learning Centre,PAKENHAM,3810,235,Exceeding NQS
York Street Kindergarten at Glenroy West Primary School,GLENROY,3046,33,Meeting NQS
Rivercrest Early Learning Centre,CLYDE NORTH,3978,100,Exceeding NQS
Camp Australia - Flinders Christian College OSHC,CARRUM DOWNS,3201,75,Working Towards NQS
TeamKids - Ruskin Park Primary,CROYDON,3136,75,Meeting NQS
Alamanda Kindergarten,POINT COOK,3030,99,Exceeding NQS
Future Super Stars ELC Sunshine Pty Ltd,SUNSHINE WEST,3020,40,Working Towards NQS
Acacia Children's Centre - St Albans,ST ALBANS,3021,68,Exceeding NQS
Kathleen Millikan Centre,CASTERTON,3311,73,Exceeding NQS
Little Stars at Southern Cross,DOCKLANDS,3008,60,Meeting NQS
Waterford Rise Early Learning Centre,WARRAGUL,3820,114,Meeting NQS
Henry Family Children's Centre,PAKENHAM,3810,66,Meeting NQS
Bug-A-Lugs Indoor Play Centre,KYNETON,3444,46,Exceeding NQS
Bubup Womindjeka Family and Children's Centre,PORT MELBOURNE,3207,155,Meeting NQS
Connie Benn Early Learning Centre,FITZROY,3065,109,Meeting NQS
Aurora School Community Kindergarten,BLACKBURN SOUTH,3130,66,Exceeding NQS
Camp Australia - Clyde Primary School OSHC,CLYDE,3978,40,Working Towards NQS
Toolamba Preschool,TOOLAMBA,3614,54,Exceeding NQS
Beechworth Montessori,BEECHWORTH,3747,60,Exceeding NQS
Montessori Western Metro Education Centre,WERRIBEE,3030,20,Meeting NQS
Newport Gardens Early Years Centre,NEWPORT,3015,149,Exceeding NQS
Camp Australia - Ballarat Grammar School OSHC,WENDOUREE,3355,40,Working Towards NQS
Koroit Kindergarten,KOROIT,3282,60,Working Towards NQS
Only About Children Tarneit,TARNEIT,3029,143,Meeting NQS
Camp Australia - Melton Christian College OSHC,MELTON SOUTH,3338,14,Exceeding NQS
Youth Leadership - St Kevins Catholic Primary School OSHC,TEMPLESTOWE LOWER,3107,24,Exceeding NQS
Rangebank Primary School OSHC,CRANBOURNE,3977,90,Meeting NQS
Dandenong South Primary Kindergarten,DANDENONG,3175,50,Exceeding NQS
Goodstart Early Learning Melbourne - Flinders Street,MELBOURNE,3000,85,Meeting NQS
Hope Carrum Downs,CARRUM DOWNS,3201,171,Meeting NQS
Yarralinda Early Learning Centre,MOOROOLBARK,3138,30,Exceeding NQS
Boorai Centre Ocean Grove,OCEAN GROVE,3226,203,Exceeding NQS
Guardian Childcare & Education Abbotsford,ABBOTSFORD,3067,120,Exceeding NQS
Brunswick Montessori Children's House,BRUNSWICK WEST,3055,30,Meeting NQS
Glenroy West Kindergarten,GLENROY,3046,28,Meeting NQS
Arbourlea Kindergarten,CRANBOURNE NORTH,3977,90,Exceeding NQS
Tallygaroopna Primary School OSH Care,TALLYGAROOPNA,3634,15,Meeting NQS
St Joseph's PS (Northcote) OSHC - Extend,NORTHCOTE,3070,28,Meeting NQS
Youth Leadership Victoria - St Charles Borromeo Catholic Primary School OSHC,TEMPLESTOWE,3106,40,Meeting NQS
The Hub Kindergarten,WANGARATTA,3677,44,Meeting NQS
Being3 Kindergarten,BURWOOD,3125,48,Meeting NQS
Penrose Promenade Kindergarten,TARNEIT,3029,73,Exceeding NQS
Epping Views Kindergarten,EPPING,3076,69,Exceeding NQS
Creative Garden Early Learning Point Cook,POINT COOK,3030,125,Meeting NQS
Team Holiday - Burwood,BURWOOD,3125,80,Meeting NQS
Creative Garden Early Learning Cheltenham,CHELTENHAM,3192,118,Working Towards NQS
Banyan Fields Child and Family Centre,CARRUM DOWNS,3201,99,Exceeding NQS
Birch Street Children and Family Centre,BAYSWATER,3153,33,Exceeding NQS
St Agnes Primary School OSHC - Extend,HIGHETT,3190,45,Meeting NQS
After The Bell Aus- Grahamvale PS,GRAHAMVALE,3631,45,Meeting NQS
Wangaratta West Out of School Hours Care,WANGARATTA,3677,60,Meeting NQS
Bethal Primary School Kindergarten,MEADOW HEIGHTS,3048,44,Meeting NQS
Hazel Glen College Children's Programs,DOREEN,3754,382,Exceeding NQS
Gumnuts Outside School Hours Care,SALE,3850,75,Meeting NQS
3C Kidzcare Waverley,WANTIRNA SOUTH,3152,60,Working Towards NQS
Rivercrest OSHClub,CLYDE NORTH,3978,100,Meeting NQS
St Margaret Mary's PS OSHC - Extend,BRUNSWICK,3056,24,Meeting NQS
St Mary of the Cross MacKillop PS OSHC - Extend,EPPING,3076,60,Working Towards NQS
Avondale Heights Early Years Centre,AVONDALE HEIGHTS,3034,56,Exceeding NQS
Mahogany Kindergarten,WARRNAMBOOL,3280,40,Exceeding NQS
Our Lady of Lourdes PS OSHC - Extend,PRAHRAN,3181,24,Meeting NQS
St Mary of the Cross OSHClub,POINT COOK,3030,70,Exceeding NQS
Stepping Stones - St Bernard's OSHC,WANGARATTA,3677,35,Meeting NQS
STARFISH EARLY LEARNING CENTRE (NUNAWADING),NUNAWADING,3131,120,Exceeding NQS
Guardian Childcare & Education Point Cook South,POINT COOK,3030,144,Meeting NQS
Nido Early School Cranbourne,CRANBOURNE,3977,81,Meeting NQS
The Sanctuary At Hillside,HILLSIDE,3037,85,Meeting NQS
The Geelong College Outside School Hours Care and Vacation Care Program,NEWTOWN,3220,40,Meeting NQS
Newbury Child and Community Centre,CRAIGIEBURN,3064,132,Exceeding NQS
Swan Childcare - Derrimut,DERRIMUT,3026,90,Working Towards NQS
SMART KINDER,SYDENHAM,3037,59,Working Towards NQS
Cranbourne Park PS TheirCare,CRANBOURNE,3977,60,Working Towards NQS
Ilim Learning Sanctuary - Glenroy,GLENROY,3046,87,Meeting NQS
North Edge Child Care Centre,WARRNAMBOOL,3280,103,Working Towards NQS
Lyrebird Early Learning Centre,CARRUM DOWNS,3201,70,Exceeding NQS
Elements Child Care and Early Learning Centre,BELMONT,3216,124,Exceeding NQS
Mitchell Street Early Learning Centre,BELMONT,3216,130,Working Towards NQS
Story House Early Learning Black Rock,BLACK ROCK,3193,73,Meeting NQS
Youth Leadership Victoria Clayton South,CLAYTON SOUTH,3169,30,Working Towards NQS
Camp Australia - Bayside Christian College OSHC,LANGWARRIN SOUTH,3911,30,Working Towards NQS
St Augustine's After School Care,FRANKSTON SOUTH,3199,80,Meeting NQS
Mentone Childcare & Kindergarten,MENTONE,3194,117,Working Towards NQS
Guardian Childcare & Education St Kilda North,MELBOURNE,3004,140,Meeting NQS
Oberon PS OSHC - Extend,BELMONT,3216,40,Meeting NQS
3C Kidz Care Chairo,PAKENHAM,3810,75,Working Towards NQS
Team Holiday - Oakleigh,OAKLEIGH,3166,60,Meeting NQS
After The Bell Aus- Mater Christi College,BELGRAVE,3160,45,Meeting NQS
Camp Australia - St Thomas the Apostle Catholic Primary School OSHC,CRANBOURNE EAST,3977,40,Meeting NQS
Echuca Primary YMCA Outside School Hours Care,ECHUCA,3564,45,Working Towards NQS
Child's Play Tarneit,TARNEIT,3029,132,Exceeding NQS
Merkaz Bentleigh,BENTLEIGH,3204,15,Working Towards NQS
Jenny's Early Learning Centre - Bendigo CBD Hospital,BENDIGO,3550,104,Exceeding NQS
Dimboola Early Learning Centre,DIMBOOLA,3414,45,Working Towards NQS
Mansfield Community Cubbyhouse,MANSFIELD,3722,50,Exceeding NQS
Bambini Early Learning Centre Newtown,NEWTOWN,3220,92,Exceeding NQS
Bambini Early Learning Centre RCH,PARKVILLE,3052,124,Meeting NQS
Glen Iris Childcare & Kindergarten,GLEN IRIS,3146,82,Meeting NQS
Moolap Primary School OSHC - Extend,MOOLAP,3224,24,Meeting NQS
Kids Club Early Learning Centre,SPRINGVALE SOUTH,3172,38,Meeting NQS
Team Holiday - Aspendale,ASPENDALE,3195,100,Meeting NQS
Waverley Meadows CommunityOSH,WHEELERS HILL,3150,60,Meeting NQS
Team Holiday - Elwood,ELWOOD,3184,120,Meeting NQS
After The Bell Aus- Drouin PS,DROUIN,3818,45,Meeting NQS
Sparrow Early Learning Saltwater,POINT COOK,3030,114,Working Towards NQS
The Learning Sanctuary Brunswick,BRUNSWICK EAST,3057,90,Meeting NQS
Camp Australia - Moorooduc Primary School OSHC,MOOROODUC,3933,76,Meeting NQS
Charles La Trobe College (La Trobe Campus) OSHC - Extend,MACLEOD WEST,3085,24,Meeting NQS
Bug-A-Lugs OSHC,WOODEND,3442,68,Meeting NQS
FROEBEL Fitzroy North,FITZROY NORTH,3068,69,Exceeding NQS
Monterosso Early Learning,RED HILL,3937,40,Meeting NQS
Bop Bop Karrong Barwon Heads (Kornoo),BARWON HEADS,3227,99,Exceeding NQS
Genius Learning - Maddingley,MADDINGLEY,3340,103,Working Towards NQS
Diggers Rest PS TheirCare,DIGGERS REST,3427,37,Working Towards NQS
Castlemaine YMCA Outside School Hours Care,CAMPBELLS CREEK,3451,45,Working Towards NQS
PINES LEARNING,DONCASTER EAST,3109,28,Meeting NQS
Oxley Kids,CHIRNSIDE PARK,3116,161,Exceeding NQS
Grovedale Child and Family Centre,GROVEDALE,3216,99,Exceeding NQS
Norlane Child and Family Centre,NORLANE,3214,99,Exceeding NQS
Leopold Child and Family Centre,LEOPOLD,3224,132,Exceeding NQS
YMCA Whittlesea - Galada Kindergarten,EPPING NORTH,3076,99,Meeting NQS
Koala Childcare & Early Learning Centre Warrnambool,WARRNAMBOOL,3280,162,Meeting NQS
Murray Valley Aboriginal Early Learning Centre,ROBINVALE,3549,95,Meeting NQS
Kids on Campus Mitta Mitta,MITTA MITTA,3701,20,Meeting NQS
Parkdale Family and Children's Centre,MORDIALLOC,3195,159,Exceeding NQS
Edithvale Family and Children's Centre,EDITHVALE,3196,120,Exceeding NQS
Big Childcare - Wyndham Vale Primary School OSHC,WYNDHAM VALE,3024,150,Exceeding NQS
Team Holiday - Tintern Grammar,RINGWOOD EAST,3135,63,Working Towards NQS
MyCentre Childcare,BROADMEADOWS,3047,88,Working Towards NQS
Guardian Childcare & Education Caulfield,CAULFIELD NORTH,3161,120,Meeting NQS
Matrix Early Learning Fawkner,FAWKNER,3060,96,Meeting NQS
Footscray West PS TheirCare,WEST FOOTSCRAY,3012,115,Exceeding NQS
Lonsdale House Outside School Hours Care Program,QUEENSCLIFF,3225,40,Exceeding NQS
Club 1878,NERRINA,3350,24,Working Towards NQS
Upper Beaconsfield McBride Road Kindergarten,BEACONSFIELD UPPER,3808,26,Exceeding NQS
Quantin Binnah - St John the Apostle PS,TARNEIT,3029,60,Meeting NQS
Keon Park Children's Hub,RESERVOIR,3073,68,Meeting NQS
Kelly Club OSHC Dinjerra Primary School,BRAYBROOK,3019,30,Meeting NQS
Oakhill Family Centre,RESERVOIR,3073,117,Meeting NQS
Clayton South Kindergarten,CLAYTON SOUTH,3169,71,Exceeding NQS
Trinity Catholic School OSHC - Extend,RICHMOND,3121,40,Meeting NQS
Laharum Preschool,LAHARUM,3401,13,Meeting NQS
Donald Children's Centre,DONALD,3480,60,Meeting NQS
Camp Australia - Lighthouse Christian College OSHC,KEYSBOROUGH,3173,45,Meeting NQS
Jindi Kindergarten and Extended Care,MERNDA,3754,99,Exceeding NQS
Portland YMCA,PORTLAND,3305,30,Working Towards NQS
Bright Early Learning Centre (Glen Waverley),GLEN WAVERLEY,3150,71,Working Towards NQS
Autumn Place Kindergarten,DOVETON,3177,66,Exceeding NQS
MCM Early Years Hub Doreen,DOREEN,3754,120,Meeting NQS
Camp Australia - St Paul the Apostle Catholic Primary School OSHC,DOREEN,3754,55,Meeting NQS
Camp Australia - St Clare’s Catholic Primary School Truganina OSHC,TRUGANINA,3029,60,Meeting NQS
Botanica Springs Kindergarten,BROOKFIELD,3338,99,Meeting NQS
Kelly Club OSHC Albion North Primary School,SUNSHINE NORTH,3020,34,Meeting NQS
Big Childcare - Arnold's Creek Primary School OSHC,ARNOLDS CREEK,3337,150,Exceeding NQS
Camp Australia - Truganina P-9 College OSHC,TRUGANINA,3029,86,Working Towards NQS
Big Childcare - Heathdale Christian College OSHC,WERRIBEE,3030,165,Meeting NQS
Norwood Kindergarten,RINGWOOD,3134,66,Exceeding NQS
Camp Australia - St Clare's Primary School Pakenham OSHC,OFFICER,3809,68,Meeting NQS
Bridge Road Kindergarten,MELTON SOUTH,3338,99,Exceeding NQS
Shepparton East Primary School OSH Care,SHEPPARTON EAST,3631,38,Meeting NQS
Miners Rest Kindergarten,MINERS REST,3352,100,Meeting NQS
Our Happy Haven,PAKENHAM,3810,30,Meeting NQS
Grovedale PS OSHC - Extend,GROVEDALE,3216,24,Meeting NQS
Goodstart Early Learning Waurn Ponds,WAURN PONDS,3216,122,Meeting NQS
Selandra Kindergarten,CLYDE NORTH,3978,127,Exceeding NQS
Midlands Kindergarten,BALLARAT NORTH,3350,66,Meeting NQS
ST CLARE'S EARLY LEARNING CENTRE,OFFICER,3809,66,Meeting NQS
Kardinia Childcare and Kindergarten Warrnambool,DENNNINGTON,3280,98,Exceeding NQS
3C Kidz Care MECS,MONTROSE,3765,30,Meeting NQS
Starfish Early Learning Centre (Springvale),SPRINGVALE,3171,108,Meeting NQS
Hurstbridge Children's Centre,HURSTBRIDGE,3099,65,Meeting NQS
Youth Leadership Victoria Doveton College,DOVETON,3177,30,Meeting NQS
Melton City Council Vacation Care,MELTON SOUTH,3338,80,Meeting NQS
Darul Ulum College Child Care,FAWKNER,3060,25,Meeting NQS
Ferntree Gully 3 Year Old Preschool,FERNTREE GULLY,3156,25,Meeting NQS
Yara Childcare Centres,TRUGANINA,3029,120,Working Towards NQS
Malmsbury Primary School,MALMSBURY,3446,15,Working Towards NQS
Kinder at Flinders,CARRUM DOWNS,3201,44,Meeting NQS
Only About Children Armadale,ARMADALE,3143,90,Meeting NQS
Only About Children Hampton,HAMPTON,3188,59,Exceeding NQS
Camp Australia - Flinders Christian College Tyabb Campus OSHC,TYABB,3913,50,Meeting NQS
Pink and Blue Early Learning Pty Ltd,ECHUCA,3564,171,Meeting NQS
Drouin Holiday Program,DROUIN,3818,60,Meeting NQS
Great Beginnings Brookfield,BROOKFIELD,3338,103,Meeting NQS
Pelican Childcare Newbury Boulevard,CRAIGIEBURN,3064,119,Meeting NQS
Team Holiday - Highton,HIGHTON,3216,100,Meeting NQS
YOUNG ADVENTURERS EARLY CHILDHOOD EDUCATION SERVICES PTY LTD,SWAN HILL,3585,44,Meeting NQS
Young Minds Early Learning Centre,SOUTH GEELONG,3220,99,Meeting NQS
Thomas Chirnside Kindergarten,WERRIBEE,3030,66,Meeting NQS
Tulip Street Private Kindergarten,CHELTENHAM,3192,23,Exceeding NQS
Chairo Christian School - Traralgon,TRARALGON,3844,22,Meeting NQS
The Annunciation After School Care Program,BROOKLYN,3012,20,Working Towards NQS
Kool Kidz Preston,PRESTON,3072,130,Meeting NQS
After The Bell Aus- St Peters PS,NORTH BENDIGO,3550,24,Meeting NQS
Petit Early Learning Journey Richmond,RICHMOND,3121,150,Working Towards NQS
Petit Early Learning Journey Clifton Hill,CLIFTON HILL,3068,150,Working Towards NQS
Only About Children Melbourne Central,MELBOURNE,3000,88,Meeting NQS
Camp Australia - Northside Christian College OSHC,BUNDOORA,3083,50,Meeting NQS
Olympic Village Preschool,HEIDELBERG WEST,3081,66,Exceeding NQS
Camp Australia - Belgrave Heights Christian School OSHC,BELGRAVE HEIGHTS,3160,45,Meeting NQS
Learning Nest,MEADOW HEIGHTS,3048,31,Meeting NQS
Yarram Early Learning Centre,YARRAM,3971,75,Working Towards NQS
LEARN SMART EARLY LEARNING CENTRE - LYNDHURST,LYNDHURST,3975,90,Meeting NQS
Myrtleford Outside School Hours Care,MYRTLEFORD,3737,30,Exceeding NQS
Team Holiday - Templestowe Heights,TEMPLESTOWE LOWER,3107,60,Meeting NQS
Team Holiday - Doncaster,DONCASTER,3108,60,Meeting NQS
Meredith Kindergarten,MEREDITH,3333,34,Meeting NQS
Healthways,MONT ALBERT NORTH,3129,95,Meeting NQS
Kelly Club OSHC Glengala Primary School,SUNSHINE WEST,3020,30,Working Towards NQS
Central Park Child Care Centre,MALVERN EAST,3145,26,Meeting NQS
Nido Early School - Albert Park,SOUTH MELBOURNE,3205,135,Exceeding NQS
Camp Australia - Golden Square Primary School OSHC,GOLDEN SQUARE,3555,80,Meeting NQS
3C Kidz Care - Maranatha,OFFICER,3809,30,Meeting NQS
Croydon Vacation Care,CROYDON,3136,58,Meeting NQS
Haileybury City Early Learning Centre,WEST MELBOURNE,3003,44,Exceeding NQS
Happy Childcare & Early Learning Centre,MELTON SOUTH,3338,44,Working Towards NQS
Jetty Road Childcare and Kindergarten,ROSEBUD,3939,72,Working Towards NQS
Terang Children's Centre,TERANG,3264,66,Exceeding NQS
Team Holiday - Manifold Heights,MANIFOLD HEIGHTS,3218,60,Meeting NQS
Team Holiday - Cheltenham,CHELTENHAM,3192,60,Meeting NQS
KindyTown Endeavour Hills Early Learning Centre,ENDEAVOUR HILLS,3802,46,Working Towards NQS
OSHC SQUAD Koo Wee Rup,KOO WEE RUP,3981,60,Meeting NQS
Nido Early School - Clayton,OAKLEIGH EAST,3166,178,Exceeding NQS
Camp Australia - Nazareth Catholic Primary School OSHC,GROVEDALE,3216,45,Meeting NQS
Lorne Street Kindergarten at Fawkner Primary School,FAWKNER,3060,53,Meeting NQS
Mother Teresa Catholic Primary School OSHC - Extend,CRAIGIEBURN,3064,25,Meeting NQS
Team Holiday - Blackburn North,BLACKBURN NORTH,3130,60,Working Towards NQS
Community Kids Haven Knoxfield Early Learning & Kinder,KNOXFIELD,3180,120,Exceeding NQS
Pentland Afterschool Care Program,DARLEY,3340,45,Meeting NQS
Jumbo South Wharf,SOUTH WHARF,3006,70,Meeting NQS
Team Holiday - Camberwell South,GLEN IRIS,3146,60,Meeting NQS
Team Holiday - Glen Iris,GLEN IRIS,3146,60,Meeting NQS
Wesley College (St Kilda) OSHC - Extend,MELBOURNE,3004,60,Meeting NQS
Wesley College (Glen Waverley) OSHC - Extend,GLEN WAVERLEY,3150,45,Meeting NQS
Wesley College (Elsternwick) OSHC - Extend,ELSTERNWICK,3185,45,Meeting NQS
Murray Street Early Learning Centre,CLAYTON,3168,40,Meeting NQS
Team Holiday - Balwyn North,BALWYN NORTH,3104,80,Meeting NQS
Team Holiday - Rowville,ROWVILLE,3178,80,Meeting NQS
Kids on Clyde,CLYDE NORTH,3978,118,Meeting NQS
LEORA BABY CENTRE,CAULFIELD SOUTH,3162,20,Working Towards NQS
Team Holiday - Newtown,NEWTOWN,3220,49,Meeting NQS
